,,Gund Bus-A 15 Min Block Demand - kVA,Gund Bus-A Current Phase A - Amps,Gund Bus-A Current Phase B - Amps,Gund Bus-A Current Phase C - Amps,Gund Bus-A Current Phase N - Amps,Gund Bus-A Energy - kWh,Gund Bus-A Frequency - Hertz,Gund Bus-A Max Monthly Demand - kW,Gund Bus-A Power Apparent - kVA,Gund Bus-A Power Reactive - kVAR,Gund Bus-A Power Real - kW,Gund Bus-A True Power Factor - PF,Gund Bus-A Voltage AB - Volts,Gund Bus-A Voltage AN - Volts,Gund Bus-A Voltage BC - Volts,Gund Bus-A Voltage BN - Volts,Gund Bus-A Voltage CA - Volts,Gund Bus-A Voltage CN - Volts,Gund Bus-B 15 Min Block Demand - kVA,Gund Bus-B Current Phase A - Amps,Gund Bus-B Current Phase B - Amps,Gund Bus-B Current Phase C - Amps,Gund Bus-B Current Phase N - Amps,Gund Bus-B Energy - kWh,Gund Bus-B Frequency - Hertz,Gund Bus-B Max Monthly Demand - kW,Gund Bus-B Power Apparent - kVA,Gund Bus-B Power Reactive - kVAR,Gund Bus-B Power Real - kW,Gund Bus-B True Power Factor - PF,Gund Bus-B Voltage AB - Volts,Gund Bus-B Voltage AN - Volts,Gund Bus-B Voltage BC - Volts,Gund Bus-B Voltage BN - Volts,Gund Bus-B Voltage CA - Volts,Gund Bus-B Voltage CN - Volts,Gund Condensate Counter - count,Gund Condensate FlowTotal - LBS,Gund Main Demand - Tons,Gund Main Energy - Ton-Days,Gund Main FlowRate - gpm,Gund Main FlowTotal - kgal(1000),Gund Main SignalAeration - Count,Gund Main SignalStrength - Count,Gund Main SonicVelocity - Ft/Sec,Gund Main TempDelta - Deg F,Gund Main TempReturn - Deg F,Gund Main TempSupply - Deg F
12/31/2018 1:00:00 AM,White,92.10,102.96,107.63,109.02,29.95,"14,330,933.22",59.98,309.09,92.27,21.93,89.59,-0.97,498.95,287.53,499.49,288.03,499.32,288.22,0.00,0.03,0.00,0.00,0.03,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,493.99,285.01,494.83,285.22,493.77,284.95,"251,190.65","25,119,063.70",1.36,"112,636.70",2.58,"294,208.54",0.00,56.00,"1,427.40",12.92,55.31,42.46
12/31/2018 2:00:00 AM,White,93.59,104.10,109.18,110.45,29.14,"14,331,023.21",59.98,309.09,93.60,22.33,90.85,-0.97,499.18,287.58,499.81,288.12,499.32,288.34,0.01,0.02,0.00,0.00,0.02,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.33,285.13,494.72,285.30,494.18,285.08,"251,192.64","25,119,262.76",1.25,"112,636.76",2.43,"294,208.69",0.00,56.00,"1,427.44",12.64,55.10,42.46
12/31/2018 3:00:00 AM,#d2e4b0,93.76,104.02,109.25,110.34,31.00,"14,331,114.21",59.98,309.09,93.59,22.08,90.91,-0.97,499.40,287.64,500.12,288.20,499.32,288.46,0.01,0.00,0.00,0.00,0.00,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.66,285.25,494.57,285.39,494.58,285.20,"251,196.00","25,119,591.35",1.30,"112,636.82",2.55,"294,208.84",0.00,56.00,"1,427.67",12.30,55.00,42.67
12/31/2018 4:00:00 AM,White,91.46,97.92,107.72,110.35,32.09,"14,331,203.84",59.98,309.09,91.24,22.81,88.30,-0.97,499.50,287.69,500.30,288.29,499.31,288.58,0.01,0.01,0.00,0.00,0.01,"5,269,275.00",60.01,0.02,0.00,0.00,0.00,-1.00,494.73,285.64,494.41,285.48,494.44,285.33,"251,206.63","25,120,659.23",1.25,"112,636.87",2.41,"294,208.99",0.00,56.00,"1,427.93",12.45,55.07,42.63
12/31/2018 5:00:00 AM,White,91.64,98.51,108.74,110.60,31.48,"14,331,292.72",59.98,309.09,91.59,22.56,88.70,-0.97,498.73,287.62,499.56,288.20,499.12,288.56,0.00,0.03,0.00,0.00,0.03,"5,269,275.00",60.01,0.02,0.00,0.00,0.00,-1.00,493.86,285.30,494.24,285.42,493.71,285.32,"251,210.82","25,121,078.22",1.30,"112,636.93",2.52,"294,209.14",0.00,56.00,"1,428.19",12.62,55.15,42.53
12/31/2018 6:00:00 AM,#d2e4b0,91.42,98.12,109.33,111.43,32.59,"14,331,380.97",59.98,309.09,91.67,21.72,88.96,-0.97,497.19,287.21,498.45,287.64,498.11,288.20,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",60.01,0.02,0.00,0.00,0.00,-1.00,492.84,284.62,492.93,284.97,492.79,284.95,"251,215.06","25,121,501.68",1.20,"112,636.99",2.30,"294,209.30",0.00,56.00,"1,428.45",12.51,55.01,42.52
12/31/2018 7:00:00 AM,White,93.39,100.49,110.20,115.38,32.62,"14,331,471.21",59.98,309.09,93.52,21.81,90.87,-0.97,496.29,286.79,497.44,287.09,496.90,287.82,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",60.01,0.02,0.00,0.00,0.00,-1.00,491.92,284.27,491.65,284.51,491.92,284.57,"251,226.04","25,122,589.99",1.20,"112,637.04",2.31,"294,209.45",0.00,56.00,"1,428.71",12.41,54.93,42.56
12/31/2018 8:00:00 AM,White,95.29,101.94,113.37,114.50,31.08,"14,331,562.84",59.98,309.09,95.25,24.05,92.15,-0.97,499.77,288.15,500.54,288.50,500.19,288.90,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",60.01,0.02,0.00,0.00,0.00,-1.00,495.09,285.47,495.30,285.76,495.00,285.68,"251,247.40","25,124,722.91",1.32,"112,637.10",2.77,"294,209.60",0.00,56.00,"1,428.97",11.91,55.22,43.31
12/31/2018 9:00:00 AM,#d2e4b0,94.21,100.11,112.93,111.39,30.44,"14,331,654.09",59.98,309.09,93.50,24.10,90.34,-0.97,499.48,288.21,500.53,288.59,500.04,288.96,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.86,285.55,495.08,285.82,494.72,285.69,"251,260.67","25,126,059.31",1.50,"112,637.16",2.91,"294,209.76",0.00,55.92,"1,429.23",12.59,55.51,42.90
12/31/2018 10:00:00 AM,White,92.79,100.37,112.04,110.03,31.92,"14,331,744.34",59.98,309.09,93.09,23.68,90.00,-0.97,498.95,288.19,500.37,288.60,499.82,288.94,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.63,285.54,494.84,285.79,494.46,285.63,"251,270.44","25,127,035.75",1.44,"112,637.21",2.73,"294,209.93",0.00,55.73,"1,429.35",12.69,55.66,42.99
12/31/2018 11:00:00 AM,White,92.80,100.16,111.78,109.20,31.42,"14,331,833.84",59.98,309.09,92.56,23.70,89.43,-0.97,498.59,288.17,500.26,288.60,499.70,288.92,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.53,285.53,494.71,285.76,494.34,285.57,"251,281.49","25,128,139.69",1.44,"112,637.27",2.91,"294,210.10",0.00,55.53,"1,429.02",12.52,55.69,43.16
12/31/2018 12:00:00 PM,#d2e4b0,91.83,98.03,110.60,108.69,32.55,"14,331,923.09",59.98,309.09,91.58,23.03,88.58,-0.97,498.90,288.15,500.15,288.61,499.59,288.89,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.42,285.53,494.57,285.73,494.22,285.51,"251,292.25","25,129,216.70",1.49,"112,637.33",2.85,"294,210.26",0.00,55.33,"1,428.66",12.62,55.89,43.35
12/31/2018 1:00:00 PM,White,92.11,99.53,111.69,109.20,32.27,"14,332,011.72",59.98,309.09,92.43,23.92,89.28,-0.97,499.27,288.13,500.04,288.62,499.47,288.87,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,494.32,285.52,494.44,285.69,494.11,285.45,"251,302.72","25,130,263.07",1.47,"112,637.40",2.96,"294,210.43",0.00,55.13,"1,428.30",12.30,56.04,43.79
12/31/2018 2:00:00 PM,White,92.62,99.90,109.68,110.58,31.30,"14,332,100.84",59.98,309.09,92.37,23.80,89.19,-0.97,499.25,288.11,499.88,288.62,499.36,288.85,0.01,0.00,0.00,0.00,0.00,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,494.22,285.51,494.31,285.65,493.99,285.45,"251,313.13","25,131,304.29",1.50,"112,637.47",2.84,"294,210.60",0.00,55.00,"1,427.94",13.13,56.44,43.28
12/31/2018 3:00:00 PM,#d2e4b0,92.77,100.68,110.65,110.49,32.29,"14,332,190.22",59.98,309.09,92.96,23.66,89.82,-0.97,498.88,288.09,499.56,288.63,499.24,288.83,0.01,0.00,0.00,0.00,0.00,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,494.12,285.50,494.17,285.64,493.87,285.63,"251,323.47","25,132,339.07",1.70,"112,637.53",2.91,"294,210.76",0.00,55.00,"1,427.59",14.26,56.54,42.30
12/31/2018 4:00:00 PM,White,92.63,100.68,110.13,110.11,32.09,"14,332,279.59",59.98,309.09,92.70,23.60,89.56,-0.97,498.51,288.10,499.23,288.56,499.13,288.82,0.01,0.00,0.00,0.00,0.00,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,494.01,285.50,494.04,285.63,493.75,285.92,"251,333.65","25,133,356.35",1.68,"112,637.60",2.95,"294,210.93",0.00,55.00,"1,427.23",14.01,56.26,42.24
12/31/2018 5:00:00 PM,White,92.87,100.43,111.45,111.67,32.50,"14,332,369.59",59.98,309.09,93.07,23.01,90.12,-0.97,498.40,288.14,499.18,288.39,498.91,288.83,0.01,0.02,0.00,0.00,0.02,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,493.95,285.51,493.97,285.63,493.74,285.06,"251,344.59","25,134,449.99",1.59,"112,637.67",2.85,"294,211.11",0.00,55.00,"1,426.87",13.68,55.93,42.26
12/31/2018 6:00:00 PM,#d2e4b0,93.39,100.11,110.53,112.78,30.83,"14,332,459.84",59.98,309.09,93.34,22.42,90.52,-0.97,499.00,288.17,499.51,288.33,499.01,288.83,0.01,0.00,0.00,0.00,0.00,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,494.45,285.66,494.41,285.76,494.31,285.35,"251,355.14","25,135,505.07",1.67,"112,637.74",3.05,"294,211.29",0.00,55.00,"1,426.63",13.50,55.77,42.26
12/31/2018 7:00:00 PM,White,94.48,101.86,111.09,114.36,31.80,"14,332,551.34",59.98,309.09,94.47,23.48,91.38,-0.97,499.65,288.44,500.03,288.79,499.90,289.04,0.01,0.01,0.00,0.00,0.01,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,494.96,285.88,494.87,286.02,494.74,285.68,"251,365.97","25,136,588.62",1.65,"112,637.80",2.98,"294,211.47",0.00,55.00,"1,426.62",13.55,55.74,42.25
12/31/2018 8:00:00 PM,White,93.31,100.46,110.63,112.69,31.86,"14,332,642.09",59.98,309.09,93.38,22.50,90.54,-0.97,498.83,287.91,499.30,288.31,499.14,288.47,0.01,0.02,0.00,0.00,0.02,"5,269,275.00",59.98,0.02,0.01,-0.01,0.00,-1.00,494.00,285.24,493.98,285.44,493.75,285.10,"251,376.62","25,137,653.38",1.72,"112,637.87",3.09,"294,211.65",0.00,55.00,"1,426.61",13.49,55.67,42.23
12/31/2018 9:00:00 PM,#d2e4b0,93.19,99.92,110.63,113.16,35.58,"14,332,732.09",59.99,309.09,93.07,22.88,90.15,-0.97,497.52,287.06,498.06,287.53,497.69,287.68,0.01,0.05,0.00,0.00,0.05,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,492.79,284.33,492.84,284.57,492.57,284.35,"251,387.45","25,138,735.66",1.57,"112,637.93",2.87,"294,211.83",0.00,55.00,"1,426.61",13.38,55.57,42.22
12/31/2018 10:00:00 PM,White,92.89,100.42,110.46,113.29,32.60,"14,332,822.21",59.99,309.09,93.32,22.67,90.35,-0.97,497.62,287.19,498.19,287.73,497.81,287.85,0.01,0.02,0.00,0.00,0.02,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,492.93,284.41,493.02,284.72,492.73,284.64,"251,397.59","25,139,751.38",1.58,"112,638.00",2.79,"294,212.01",0.00,55.00,"1,426.60",13.30,55.45,42.24
12/31/2018 11:00:00 PM,White,89.50,95.21,105.96,107.56,30.89,"14,332,911.10",59.99,309.09,89.01,21.61,86.30,-0.97,497.72,287.31,498.33,287.92,497.93,288.01,0.01,0.02,0.00,0.00,0.02,"5,269,275.00",59.90,0.02,0.00,0.00,0.00,-1.00,492.69,284.25,492.78,284.67,492.47,284.50,"251,406.96","25,140,689.29",1.49,"112,638.06",2.72,"294,212.18",0.00,55.00,"1,426.60",13.16,55.33,42.26
1/1/2019 12:00:00 AM,#d2e4b0,88.01,95.20,104.16,107.35,30.82,"14,332,996.35",59.99,309.09,88.26,21.21,85.61,-0.97,497.82,287.43,498.47,288.11,498.05,288.18,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,493.24,284.52,493.11,284.97,492.95,284.90,"251,412.93","25,141,289.97",1.45,"112,638.13",2.74,"294,212.36",0.00,55.00,"1,426.60",13.04,55.33,42.26
1/1/2019 1:00:00 AM,White,87.80,94.57,104.98,105.54,32.09,"14,333,081.98",59.99,309.09,87.84,21.45,85.06,-0.97,498.07,287.56,498.80,288.31,498.30,288.35,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,493.47,284.59,493.32,285.07,493.12,285.10,"251,415.85","25,141,583.54",1.45,"112,638.19",2.67,"294,212.52",0.00,55.00,"1,426.59",13.03,55.29,42.24
1/1/2019 2:00:00 AM,White,87.41,93.52,104.37,105.52,30.83,"14,333,166.85",59.99,309.09,87.57,21.93,84.63,-0.97,498.38,287.68,499.21,288.50,498.60,288.51,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,493.71,284.66,493.62,285.18,493.30,285.30,"251,417.82","25,141,780.63",1.62,"112,638.26",3.06,"294,212.67",0.00,55.00,"1,426.48",13.16,55.33,42.23
1/1/2019 3:00:00 AM,#d2e4b0,88.12,94.15,104.62,106.32,30.38,"14,333,251.72",60.00,309.09,87.91,21.68,85.09,-0.97,498.69,287.80,499.63,288.69,498.90,288.68,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,493.94,284.74,493.92,285.29,493.48,285.51,"251,421.08","25,142,099.44",1.51,"112,638.32",2.77,"294,212.83",0.00,55.00,"1,426.23",13.19,55.33,42.21
1/1/2019 4:00:00 AM,White,87.81,93.63,104.51,105.55,26.85,"14,333,336.72",60.00,309.09,87.69,22.16,84.77,-0.97,499.00,287.90,500.04,288.83,499.20,288.78,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,494.17,284.81,494.22,285.40,493.66,285.52,"251,431.51","25,143,147.56",1.44,"112,638.39",2.68,"294,212.99",0.00,55.00,"1,425.98",13.26,55.40,42.19
1/1/2019 5:00:00 AM,White,87.01,92.67,102.36,105.99,24.30,"14,333,420.85",60.00,309.09,86.85,22.74,83.79,-0.96,499.29,287.79,500.39,288.70,499.49,288.65,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.41,284.89,494.52,285.50,493.85,285.37,"251,435.35","25,143,531.54",1.48,"112,638.45",2.78,"294,213.15",0.00,55.00,"1,425.73",13.43,55.61,42.20
1/1/2019 6:00:00 AM,#d2e4b0,86.45,91.96,103.85,105.06,26.50,"14,333,504.85",60.00,309.09,86.68,21.67,83.90,-0.97,498.99,287.65,499.90,288.52,499.20,288.49,0.00,0.05,0.00,0.00,0.05,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,494.24,284.96,494.35,285.59,493.75,285.22,"251,439.09","25,143,905.63",1.46,"112,638.52",2.65,"294,213.31",0.00,55.00,"1,425.48",13.43,55.67,42.24
1/1/2019 7:00:00 AM,White,86.21,92.01,102.40,104.89,28.11,"14,333,587.98",60.00,309.09,86.17,21.92,83.28,-0.97,498.43,287.50,499.14,288.34,498.54,288.32,0.00,0.03,0.00,0.00,0.03,"5,269,275.00",60.00,0.02,0.00,0.00,0.00,-1.00,493.75,284.93,493.82,285.49,493.33,284.94,"251,446.51","25,144,641.90",1.56,"112,638.59",2.77,"294,213.47",0.00,55.00,"1,425.23",13.49,55.75,42.23
1/1/2019 8:00:00 AM,White,86.39,91.98,104.09,103.51,24.42,"14,333,671.98",60.00,309.09,86.27,23.22,83.11,-0.96,497.99,287.36,498.90,288.17,498.03,288.16,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,493.51,284.79,493.56,285.37,493.11,284.99,"251,459.27","25,145,916.69",1.61,"112,638.66",2.86,"294,213.64",0.00,55.00,"1,424.98",13.66,56.10,42.47
1/1/2019 9:00:00 AM,#d2e4b0,86.67,92.70,105.53,103.41,23.99,"14,333,755.10",60.00,309.09,86.92,23.82,83.57,-0.96,497.72,287.22,498.75,287.99,497.71,288.00,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.90,0.02,0.00,0.00,0.00,-1.00,492.74,284.24,492.88,284.82,492.38,284.43,"251,470.24","25,147,016.30",1.59,"112,638.72",2.84,"294,213.82",0.00,55.00,"1,424.73",13.85,56.27,42.37
1/1/2019 10:00:00 AM,White,87.08,93.41,105.96,104.74,24.56,"14,333,838.60",60.00,309.09,87.41,23.80,84.07,-0.96,497.45,287.08,498.25,287.82,497.41,287.84,0.00,0.03,0.00,0.00,0.03,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,493.00,284.45,493.29,285.03,492.62,284.54,"251,480.95","25,148,086.07",1.80,"112,638.79",2.94,"294,214.00",0.00,55.00,"1,424.77",14.92,56.23,41.30
1/1/2019 11:00:00 AM,White,86.82,92.62,105.96,103.42,24.33,"14,333,922.35",60.00,309.09,86.79,23.10,83.61,-0.96,497.31,286.94,497.74,287.64,497.20,287.67,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,492.52,284.28,492.97,284.86,492.12,284.28,"251,491.19","25,149,110.95",2.12,"112,638.86",3.51,"294,214.18",0.00,55.00,"1,425.01",14.71,56.18,41.48
1/1/2019 12:00:00 PM,#d2e4b0,113.87,132.41,143.89,145.16,30.77,"14,334,016.30",60.00,309.09,120.96,31.74,116.66,-0.96,497.22,286.79,497.42,287.46,497.03,287.51,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,492.25,284.13,492.75,284.72,491.88,284.22,"251,509.21","25,150,897.00",1.79,"112,638.94",3.03,"294,214.37",0.00,55.00,"1,425.26",14.30,55.96,41.65
1/1/2019 1:00:00 PM,White,153.16,174.09,182.67,180.91,38.92,"14,334,154.86",60.00,309.09,154.54,40.91,148.94,-0.96,497.13,286.64,497.42,287.28,496.86,287.33,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,492.35,284.09,492.74,284.71,492.07,284.26,"251,536.92","25,153,673.33",1.61,"112,639.02",2.78,"294,214.55",0.00,55.00,"1,425.50",13.83,55.71,41.84
1/1/2019 2:00:00 PM,White,164.31,188.39,197.12,192.98,37.10,"14,334,308.84",59.99,309.09,166.23,44.18,160.26,-0.96,497.03,286.48,497.43,287.09,496.69,287.15,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,492.47,284.06,492.74,284.72,492.27,284.25,"251,558.56","25,155,839.26",2.14,"112,639.11",3.41,"294,214.73",0.00,55.00,"1,425.74",14.97,56.33,41.30
1/1/2019 3:00:00 PM,#d2e4b0,176.20,200.38,211.02,205.64,32.82,"14,334,475.07",59.99,309.09,177.15,46.07,170.99,-0.97,496.94,286.33,497.43,286.91,496.51,286.97,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.83,0.02,0.00,0.00,0.00,-1.00,491.30,283.33,491.49,284.01,490.96,283.54,"251,577.90","25,157,774.23",2.27,"112,639.19",3.53,"294,214.92",0.00,55.00,"1,425.99",15.34,56.61,41.29
1/1/2019 4:00:00 PM,White,180.91,204.11,214.95,209.17,36.37,"14,334,649.19",59.99,309.09,180.23,45.74,174.34,-0.97,496.84,286.17,497.43,286.72,496.34,286.79,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",59.90,0.02,0.01,-0.01,0.00,-0.99,491.83,283.62,491.94,284.26,491.42,283.86,"251,600.05","25,159,985.61",1.82,"112,639.27",3.09,"294,215.11",0.00,55.00,"1,426.23",14.61,56.67,42.05
1/1/2019 5:00:00 PM,White,176.98,200.37,210.08,205.28,37.39,"14,334,821.07",59.99,309.09,176.46,44.62,170.67,-0.97,496.65,286.01,497.06,286.54,496.59,286.61,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.99,0.02,0.00,0.00,0.00,-1.00,492.23,283.68,492.17,284.19,491.85,283.97,"251,624.35","25,162,414.00",1.95,"112,639.35",3.20,"294,215.32",0.00,55.00,"1,426.47",15.05,56.86,41.83
1/1/2019 6:00:00 PM,#d2e4b0,175.12,196.75,206.46,204.68,37.04,"14,334,991.45",59.99,309.09,174.26,43.39,168.73,-0.97,496.65,286.20,497.03,286.77,496.49,286.78,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,492.37,283.70,492.16,284.08,491.90,283.72,"251,649.85","25,164,964.60",2.02,"112,639.43",3.34,"294,215.53",0.00,55.00,"1,426.61",14.83,57.09,42.26
1/1/2019 7:00:00 PM,White,151.20,165.80,174.62,173.10,34.87,"14,335,146.87",59.99,309.09,148.19,39.21,142.86,-0.96,498.82,287.70,499.17,288.40,498.71,288.19,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.98,0.02,0.01,-0.01,0.00,-1.00,494.35,285.01,494.11,285.39,493.92,285.18,"251,675.43","25,167,522.25",2.10,"112,639.52",3.32,"294,215.74",0.00,55.00,"1,426.71",15.40,57.47,42.05
1/1/2019 8:00:00 PM,White,145.16,162.64,171.58,169.18,36.06,"14,335,287.75",59.98,309.09,145.33,38.99,139.97,-0.96,498.95,287.96,499.18,288.70,498.87,288.49,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,494.35,285.33,494.07,285.78,494.04,285.40,"251,699.81","25,169,960.99",2.26,"112,639.61",3.54,"294,215.95",0.00,55.00,"1,426.81",15.72,57.95,42.22
1/1/2019 9:00:00 PM,#d2e4b0,145.24,163.22,170.87,170.50,35.71,"14,335,427.75",59.99,309.09,145.60,39.15,140.20,-0.96,499.16,288.21,499.38,289.01,499.07,288.78,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.98,0.02,0.00,0.00,0.00,-1.00,494.69,285.65,494.43,286.17,494.38,285.61,"251,723.94","25,172,374.65",2.46,"112,639.70",3.74,"294,216.16",0.00,55.00,"1,426.92",15.93,58.17,42.25
1/1/2019 10:00:00 PM,White,136.79,148.27,157.46,156.09,35.02,"14,335,564.02",59.99,309.09,132.88,36.26,127.81,-0.96,497.71,286.87,498.24,287.66,497.52,287.46,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,493.04,284.58,492.95,285.16,492.48,284.54,"251,746.54","25,174,637.55",2.43,"112,639.80",3.74,"294,216.37",0.00,55.00,"1,427.02",15.98,58.24,42.27
1/1/2019 11:00:00 PM,White,101.07,109.01,118.42,113.92,33.60,"14,335,674.58",59.99,309.09,98.26,25.97,94.74,-0.96,497.77,286.63,498.42,287.41,497.52,287.27,0.00,0.01,0.00,0.00,0.01,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,492.84,284.28,492.81,284.83,492.33,284.27,"251,764.90","25,176,477.63",2.63,"112,639.89",4.03,"294,216.58",0.00,55.00,"1,427.12",15.83,58.12,42.30
1/2/2019 12:00:00 AM,#d2e4b0,90.58,98.63,108.31,104.48,30.53,"14,335,763.72",60.00,309.09,89.70,23.13,86.55,-0.97,498.41,286.88,498.78,287.67,498.10,287.57,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,493.46,284.37,493.48,284.89,493.00,284.38,"251,776.10","25,177,602.90",2.30,"112,639.98",3.69,"294,216.79",0.00,55.00,"1,427.22",14.93,57.52,42.62
1/2/2019 1:00:00 AM,White,87.16,95.94,105.00,100.95,30.72,"14,335,848.85",60.00,309.09,87.09,22.91,83.95,-0.97,498.63,287.14,498.92,287.92,498.48,287.87,0.00,0.02,0.00,0.00,0.02,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,493.74,284.47,493.77,284.95,493.38,284.49,"251,781.38","25,178,136.28",2.10,"112,640.08",3.51,"294,216.99",0.00,55.00,"1,427.30",14.33,56.77,42.49
1/2/2019 2:00:00 AM,White,88.20,96.37,106.57,101.75,30.88,"14,335,933.48",60.00,309.09,88.01,23.04,84.84,-0.96,498.75,287.39,499.86,288.18,498.81,288.17,0.01,0.00,0.00,0.00,0.00,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,493.92,284.56,493.97,285.02,493.68,284.61,"251,784.08","25,178,406.30",1.87,"112,640.17",3.22,"294,217.19",0.00,55.00,"1,427.25",14.07,56.44,42.36
1/2/2019 3:00:00 AM,#d2e4b0,90.28,100.73,110.60,106.12,30.16,"14,336,019.09",60.01,309.09,91.63,23.32,88.54,-0.97,498.86,287.65,499.79,288.43,499.12,288.47,0.01,0.02,0.00,0.00,0.02,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,494.09,284.66,494.16,285.08,493.97,284.72,"251,788.47","25,178,834.51",1.85,"112,640.27",3.23,"294,217.40",0.00,55.00,"1,427.14",14.10,56.40,42.31
1/2/2019 4:00:00 AM,White,92.68,101.43,110.31,107.91,30.70,"14,336,108.72",60.01,309.09,92.19,23.14,89.25,-0.97,498.71,287.63,499.16,288.39,498.85,288.44,0.01,0.01,0.00,0.00,0.01,"5,269,275.00",59.97,0.02,0.00,0.00,0.00,-1.00,493.90,284.75,494.13,285.14,493.75,284.84,"251,803.84","25,180,377.55",1.81,"112,640.40",3.09,"294,217.60",0.00,55.00,"1,427.04",14.02,56.27,42.26
1/2/2019 5:00:00 AM,White,92.62,101.06,111.46,107.71,29.57,"14,336,198.34",60.01,309.09,92.29,22.65,89.42,-0.97,498.01,287.35,498.52,288.04,498.24,288.09,0.00,0.03,0.00,0.00,0.03,"5,269,275.00",59.96,0.02,0.00,0.00,0.00,-1.00,493.26,284.73,493.59,285.13,493.22,284.87,"251,811.97","25,181,190.64",1.98,"112,640.52",3.37,"294,217.80",0.00,55.00,"1,426.94",13.97,56.21,42.23
1/2/2019 6:00:00 AM,#d2e4b0,93.23,102.68,113.78,110.44,31.19,"14,336,287.96",60.01,309.09,93.92,22.57,91.05,-0.97,497.62,287.16,498.19,287.82,497.82,287.86,0.00,0.00,0.00,0.00,0.00,"5,269,275.00",59.96,0.02,0.00,0.00,0.00,-1.00,492.85,284.44,493.23,284.84,492.88,284.49,"251,820.14","25,182,007.63",1.75,"112,640.65",3.05,"294,218.00",0.00,55.00,"1,426.83",13.95,56.15,42.21
